experiment,repeticion,sin,con,Maquina,Metodo
100,1,0.01,0.028821,Cliente Condor,FxC
100,2,0.01,0.027337,Cliente Condor,FxC
100,3,0.01,0.0254,Cliente Condor,FxC
100,4,0.01,0.0292,Cliente Condor,FxC
100,5,0.01,0.025227,Cliente Condor,FxC
100,6,0.01,0.02771,Cliente Condor,FxC
100,7,0.01,0.028722,Cliente Condor,FxC
100,8,0.01,0.027698,Cliente Condor,FxC
100,9,0.01,0.028487,Cliente Condor,FxC
100,10,0.01,0.030324,Cliente Condor,FxC
100,11,0.01,0.030008,Cliente Condor,FxC
100,12,0.01,0.025647,Cliente Condor,FxC
100,13,0.01,0.024759,Cliente Condor,FxC
100,14,0.01,0.028696,Cliente Condor,FxC
100,15,0.01,0.025418,Cliente Condor,FxC
100,16,0.01,0.028928,Cliente Condor,FxC
100,17,0.01,0.028743,Cliente Condor,FxC
100,18,0.01,0.028151,Cliente Condor,FxC
100,19,0.01,0.023929,Cliente Condor,FxC
100,20,0.01,0.026137,Cliente Condor,FxC
100,21,0.01,0.030528,Cliente Condor,FxC
100,22,0.01,0.026647,Cliente Condor,FxC
100,23,0.01,0.026732,Cliente Condor,FxC
100,24,0.01,0.024835,Cliente Condor,FxC
100,25,0.01,0.026153,Cliente Condor,FxC
100,26,0.01,0.027878,Cliente Condor,FxC
100,27,0.01,0.02527,Cliente Condor,FxC
100,28,0.01,0.0274,Cliente Condor,FxC
100,29,0.01,0.02697,Cliente Condor,FxC
100,30,0.01,0.027542,Cliente Condor,FxC
200,1,0.13,0.238216,Cliente Condor,FxC
200,2,0.13,0.238496,Cliente Condor,FxC
200,3,0.13,0.233764,Cliente Condor,FxC
200,4,0.13,0.218688,Cliente Condor,FxC
200,5,0.13,0.220291,Cliente Condor,FxC
200,6,0.13,0.224405,Cliente Condor,FxC
200,7,0.13,0.226218,Cliente Condor,FxC
200,8,0.13,0.270456,Cliente Condor,FxC
200,9,0.13,0.2713,Cliente Condor,FxC
200,10,0.13,0.322895,Cliente Condor,FxC
200,11,0.13,0.279375,Cliente Condor,FxC
200,12,0.13,0.303788,Cliente Condor,FxC
200,13,0.13,0.224554,Cliente Condor,FxC
200,14,0.13,0.22354,Cliente Condor,FxC
200,15,0.13,0.227577,Cliente Condor,FxC
200,16,0.13,0.218396,Cliente Condor,FxC
200,17,0.13,0.285321,Cliente Condor,FxC
200,18,0.13,0.228093,Cliente Condor,FxC
200,19,0.13,0.251528,Cliente Condor,FxC
200,20,0.13,0.24035,Cliente Condor,FxC
200,21,0.13,0.242225,Cliente Condor,FxC
200,22,0.13,0.222298,Cliente Condor,FxC
200,23,0.13,0.221421,Cliente Condor,FxC
200,24,0.13,0.213879,Cliente Condor,FxC
200,25,0.13,0.219641,Cliente Condor,FxC
200,26,0.13,0.215867,Cliente Condor,FxC
200,27,0.13,0.223969,Cliente Condor,FxC
200,28,0.13,0.206064,Cliente Condor,FxC
200,29,0.13,0.212221,Cliente Condor,FxC
200,30,0.13,0.204821,Cliente Condor,FxC
300,1,0.47,0.674267,Cliente Condor,FxC
300,2,0.47,0.669878,Cliente Condor,FxC
300,3,0.46,0.615554,Cliente Condor,FxC
300,4,0.47,0.589434,Cliente Condor,FxC
300,5,0.46,0.705835,Cliente Condor,FxC
300,6,0.46,0.61296,Cliente Condor,FxC
300,7,0.46,0.692864,Cliente Condor,FxC
300,8,0.47,0.667949,Cliente Condor,FxC
300,9,0.46,0.664701,Cliente Condor,FxC
300,10,0.46,0.700746,Cliente Condor,FxC
300,11,0.47,0.653577,Cliente Condor,FxC
300,12,0.46,0.630369,Cliente Condor,FxC
300,13,0.46,0.593046,Cliente Condor,FxC
300,14,0.47,0.638889,Cliente Condor,FxC
