experiment,repeticion,sin,con,numpy,python,Reficiente,R
100,1,0.004972,0.004276,0.000968,1.158665895,0.002052069,0.275470972
100,2,0.004572,0.003627,0.000948,1.214830875,0.002463818,0.237931013
100,3,0.005439,0.004271,0.0009391,1.17438817,0.001675129,0.292486906
100,4,0.004857,0.003669,0.001025,1.1831882,0.002266884,0.239003897
100,5,0.004686,0.003952,0.0012283,1.156843424,0.001003981,0.244292974
100,6,0.004672,0.003791,0.00088,1.190947294,0.014900923,0.250683069
100,7,0.004519,0.003539,0.0009469,1.177797556,0.001118898,0.255506039
100,8,0.004867,0.004086,0.000936,1.215703249,0.000914097,0.246921062
100,9,0.004785,0.004927,0.000973,1.250468493,0.001055002,0.253752947
100,10,0.004762,0.003868,0.000893,1.168638945,0.001469851,0.25820303
100,11,0.004478,0.003546,0.002311707,1.151451349,0.001449108,0.297336102
100,12,0.00446,0.003618,0.000916719,1.164839506,0.001899958,0.338357925
100,13,0.00458,0.003651,0.000934362,1.150066137,0.00177598,0.241130114
100,14,0.004648,0.003441,0.000891209,1.199085712,0.001018047,0.241087914
100,15,0.005079,0.00363,0.000879765,1.339847088,0.00186491,0.245337009
100,16,0.005076,0.003416,0.000937939,1.240894318,0.001801014,0.238497972
100,17,0.0052,0.00348,0.000910044,1.219614744,0.001902103,0.237160921
100,18,0.005409,0.004678,0.000929356,1.188791275,0.000936031,0.252131939
100,19,0.004553,0.003429,0.000933886,1.155121565,0.001888037,0.264588118
100,20,0.005144,0.003496,0.000865459,1.207894564,0.001631975,0.240927935
100,21,0.005253,0.003756,0.000934601,1.171592236,0.001003027,0.24554801
100,22,0.005909,0.003449,0.000844955,1.144629478,0.000959873,0.247210026
100,23,0.004806,0.003441,0.00088191,1.167668819,0.001815796,0.25383687
100,24,0.005397,0.003416,0.001049995,1.170910597,0.001797915,0.326674938
100,25,0.005213,0.003561,0.000868559,1.183132648,0.001816988,0.244805098
100,26,0.004989,0.003556,0.001368046,1.18207407,0.002264977,0.27018714
100,27,0.005216,0.003575,0.001234531,1.134170532,0.001574039,0.232745171
100,28,0.004675,0.003425,0.000898123,1.130262613,0.001006842,0.237958908
100,29,0.005202,0.003519,0.000886679,1.295460463,0.001761913,0.244420052
100,30,0.004461,0.003431,0.000935316,1.18289423,0.001770973,0.244282961
200,1,0.042935,0.027337,0.009351,,0.079761982,2.120001078
200,2,0.043307,0.029624,0.009611,,0.011365891,1.946323872
200,3,0.043435,0.02849,0.011065,,0.01320982,1.985955
200,4,0.042459,0.027071,0.00863,,0.012861967,1.790250063
200,5,0.04257,0.028526,0.00835,,0.010709047,1.768816948
200,6,0.044725,0.026402,0.01116991,,0.013828039,1.715674162
200,7,0.043277,0.028137,0.00849,,0.013080835,1.70531106
200,8,0.043473,0.061892,0.0085062,,0.013450861,1.759767056
200,9,0.042676,0.025795,0.00929,,0.01134181,1.89327693
200,10,0.043106,0.027953,0.0087,,0.012111902,1.816216946
200,11,0.044905,0.027831,0.008635044,,0.011945963,1.83771801
200,12,0.045386,0.027162,0.008948565,,0.008596182,1.767651081
200,13,0.045563,0.029188,0.009008169,,0.013452053,1.867024899
200,14,0.044857,0.028272,0.00901103,,0.013560057,1.807898998
200,15,0.046344,0.027759,0.01055789,,0.014675856,1.741117001
200,16,0.044959,0.027475,0.008610249,,0.012979984,1.748038054
200,17,0.045588,0.02752,0.008589029,,0.012377024,1.782528877
200,18,0.04798,0.026716,0.009286165,,0.008782148,1.82155323
200,19,0.045052,0.02704,0.008827448,,0.013015985,1.754458904
200,20,0.045053,0.027253,0.008342981,,0.0124681,1.754415035
200,21,0.044921,0.026886,0.008569479,,0.009732962,1.685156107
200,22,0.052345,0.029039,0.008635521,,0.013672113,1.756778955
200,23,0.046804,0.028119,0.009108067,,0.013345003,1.755461931
200,24,0.045359,0.028043,0.016112566,,0.013562918,1.825059891
200,25,0.044914,0.027528,0.00855422,,0.012084007,1.787445068
200,26,0.04587,0.027351,0.009091854,,0.013302088,1.78350997
200,27,0.045999,0.026582,0.009177685,,0.011667967,1.791168213
200,28,0.045852,0.027924,0.008182287,,0.011738062,1.786264181
200,29,0.046305,0.027074,0.009724379,,0.013814926,1.753118992
200,30,0.045386,0.028085,0.009322405,,0.01107192,1.884974003
300,1,0.157658,0.061287,0.03142,,0.032110929,5.900969982
300,2,0.154878,0.061032,0.030774,,0.029336214,5.741079092
300,3,0.154813,0.062081,0.02989,,0.033773899,6.030907869
300,4,0.152181,0.06911,0.031255,,0.034205914,5.655731916
300,5,0.16724,0.062775,0.030717,,0.031415939,5.891386032
300,6,0.154102,0.063248,0.03143,,0.029221058,5.979218006
300,7,0.152184,0.064301,0.030411,,0.038522959,8.859688997
300,8,0.152923,0.062216,0.0281541,,0.032490015,6.204164982
300,9,0.152157,0.061787,0.02885,,0.0280509,5.686128139
300,10,0.158221,0.061352,0.02941,,0.048989058,5.459473848
300,11,0.187104,0.06423,0.030468702,,0.054068089,5.842141867
300,12,0.163606,0.063276,0.036692858,,0.035238981,5.730473042
300,13,0.15877,0.064319,0.03006196,,0.031728029,5.279747009
300,14,0.158552,0.064145,0.028774977,,0.030066967,5.433980942
300,15,0.158758,0.06562,0.038437366,,0.030701876,6.033278942
300,16,0.159199,0.065002,0.028753996,,0.030274868,5.323112011
300,17,0.159044,0.065119,0.030571699,,0.029716969,5.37288785
300,18,0.156939,0.062334,0.029000521,,0.028581142,5.314859867
300,19,0.165872,0.061727,0.030491829,,0.033349037,5.532294035
