experiment,repeticion,sin,con,numpy,Reficiente,R
100,1,0.004681,0.003353,0.000968,0.002052069,0.229672909
100,2,0.005083,0.003494,0.000948,0.002463818,0.209647179
100,3,0.004823,0.003329,0.0009391,0.001675129,0.210705996
100,4,0.005338,0.003336,0.001025,0.002266884,0.211806059
100,5,0.004457,0.003436,0.0012283,0.001003981,0.215447903
100,6,0.004459,0.003495,0.00088,0.014900923,0.214451075
100,7,0.005233,0.003323,0.0009469,0.001118898,0.223455906
100,8,0.004502,0.003359,0.000936,0.000914097,0.227856874
100,9,0.004646,0.003345,0.000973,0.001055002,0.224673033
100,10,0.005429,0.003302,0.000893,0.001469851,0.22564292
100,11,0.004739,0.003349,0.002311707,0.001449108,0.22467804
100,12,0.004552,0.003526,0.000916719,0.001899958,0.213304043
100,13,0.004488,0.003396,0.000934362,0.00177598,0.219712019
100,14,0.004666,0.003483,0.000891209,0.001018047,0.225062132
100,15,0.005087,0.003429,0.000879765,0.00186491,0.218105078
100,16,0.00478,0.003536,0.000937939,0.001801014,0.228193998
100,17,0.004508,0.003317,0.000910044,0.001902103,0.21677804
100,18,0.004664,0.003427,0.000929356,0.000936031,0.278086901
100,19,0.004588,0.003351,0.000933886,0.001888037,0.214538813
100,20,0.00449,0.003322,0.000865459,0.001631975,0.221139908
100,21,0.00466,0.003357,0.000934601,0.001003027,0.211374998
100,22,0.004614,0.003313,0.000844955,0.000959873,0.214890003
100,23,0.004674,0.003291,0.00088191,0.001815796,0.205018044
100,24,0.004803,0.003375,0.001049995,0.001797915,0.224598885
100,25,0.005287,0.003366,0.000868559,0.001816988,0.222062111
100,26,0.005132,0.003345,0.001368046,0.002264977,0.220023155
100,27,0.004566,0.003468,0.001234531,0.001574039,0.211920023
100,28,0.004746,0.003399,0.000898123,0.001006842,0.219849825
100,29,0.00487,0.003346,0.000886679,0.001761913,0.223771095
100,30,0.00498,0.003335,0.000935316,0.001770973,0.209917068
200,1,0.037763,0.026006,0.009351,0.079761982,1.590500116
200,2,0.037165,0.025682,0.009611,0.011365891,1.561465979
200,3,0.036584,0.026117,0.011065,0.01320982,1.59146595
200,4,0.036912,0.026106,0.00863,0.012861967,1.598311901
200,5,0.036897,0.026212,0.00835,0.010709047,1.595560074
200,6,0.038056,0.026467,0.01116991,0.013828039,1.61267519
200,7,0.036368,0.026572,0.00849,0.013080835,1.564093113
200,8,0.037,0.025966,0.0085062,0.013450861,1.571485043
200,9,0.036056,0.026128,0.00929,0.01134181,1.580171108
200,10,0.036647,0.026483,0.0087,0.012111902,1.566609859
200,11,0.036351,0.026808,0.008635044,0.011945963,1.598186016
200,12,0.038949,0.026654,0.008948565,0.008596182,1.561000824
200,13,0.037182,0.026118,0.009008169,0.013452053,1.610668898
200,14,0.036871,0.026574,0.00901103,0.013560057,1.564440966
200,15,0.036614,0.026983,0.01055789,0.014675856,1.635197878
200,16,0.037307,0.027767,0.008610249,0.012979984,1.606281996
200,17,0.03637,0.02697,0.008589029,0.012377024,1.556519985
200,18,0.03776,0.026326,0.009286165,0.008782148,1.565083027
200,19,0.037222,0.028367,0.008827448,0.013015985,1.574717999
200,20,0.037068,0.026826,0.008342981,0.0124681,1.56566
200,21,0.037231,0.027236,0.008569479,0.009732962,1.546119928
200,22,0.03671,0.026554,0.008635521,0.013672113,1.589151859
200,23,0.036678,0.02828,0.009108067,0.013345003,1.60867095
200,24,0.035863,0.026666,0.016112566,0.013562918,1.60876298
200,25,0.037772,0.026924,0.00855422,0.012084007,1.591987848
200,26,0.037949,0.027032,0.009091854,0.013302088,1.582624912
200,27,0.036889,0.026457,0.009177685,0.011667967,1.568001986
200,28,0.038796,0.026952,0.008182287,0.011738062,1.58447504
200,29,0.036932,0.02786,0.009724379,0.013814926,1.608574867
200,30,0.036784,0.026705,0.009322405,0.01107192,1.601969004
300,1,0.121805,0.059032,0.03142,0.032110929,5.259234905
300,2,0.120912,0.058685,0.030774,0.029336214,5.221422911
300,3,0.122689,0.058063,0.02989,0.033773899,5.52147007
300,4,0.123214,0.058311,0.031255,0.034205914,5.224260092
300,5,0.121831,0.05876,0.030717,0.031415939,5.16937995
300,6,0.119067,0.061881,0.03143,0.029221058,5.167036057
300,7,0.122952,0.058303,0.030411,0.038522959,5.444293022
300,8,0.121323,0.058178,0.0281541,0.032490015,5.152549982
300,9,0.121353,0.057602,0.02885,0.0280509,5.082756996
300,10,0.124335,0.058835,0.02941,0.048989058,5.205262184
300,11,0.121344,0.0581,0.030468702,0.054068089,5.170058012
300,12,0.121338,0.058032,0.036692858,0.035238981,5.253129959
300,13,0.122601,0.058319,0.03006196,0.031728029,5.152148008
300,14,0.121048,0.059681,0.028774977,0.030066967,5.182823896
300,15,0.121489,0.059235,0.038437366,0.030701876,5.284629822
300,16,0.12394,0.060731,0.028753996,0.030274868,5.147884846
300,17,0.120908,0.060153,0.030571699,0.029716969,5.20095396
300,18,0.152405,0.05948,0.029000521,0.028581142,5.211609125
300,19,0.121996,0.06011,0.030491829,0.033349037,5.573761225
300,20,0.138892,0.059191,0.033714056,0.030771971,5.254441023
300,21,0.122559,0.059925,0.029757738,0.032013893,5.287770033
300,22,0.1218,0.060855,0.031171083,0.032001972,5.152245998
300,23,0.122019,0.059591,0.028448343,0.030230999,5.206043959
300,24,0.121811,0.058858,0.031015873,0.030443907,5.419724941
300,25,0.121698,0.060431,0.028578281,0.026834965,5.307202816
300,26,0.12183,0.061453,0.030687809,0.041478157,5.178440094
300,27,0.121727,0.059149,0.029564619,0.045967102,5.322829008
300,28,0.122008,0.058979,0.028734207,0.03255105,5.253832102
300,29,0.122739,0.059129,0.03117466,0.035706997,5.279549122
300,30,0.121838,0.059597,0.029506683,0.033117056,5.266248941
400,1,0.282669,0.208893,0.087065,0.060513973,13.51449704
400,2,0.287258,0.208952,0.0805044,0.058580875,12.18724799
400,3,0.287605,0.20871,0.079061,0.061177015,12.18397403
400,4,0.285499,0.209006,0.08816,0.086489916,12.16523194
400,5,0.285436,0.206707,0.085702,0.079123974,13.08443689
400,6,0.292638,0.208895,0.08428,0.060398817,12.2202549
400,7,0.284853,0.210625,0.08351,0.059966087,12.25431299
400,8,0.283015,0.207478,0.0845518,0.058334112,12.82870102
400,9,0.289047,0.210104,0.08335,0.060452938,12.83749294
400,10,0.282833,0.206797,0.084771,0.061367035,12.69916701
400,11,0.284417,0.209524,0.092684031,0.064672947,12.74668908
400,12,0.285514,0.210279,0.082460165,0.056834936,12.78575492
400,13,0.286033,0.210256,0.095308781,0.065067053,12.66021204
400,14,0.288503,0.210524,0.095657825,0.056545973,12.61142683
400,15,0.287698,0.208655,0.086304903,0.058843851,12.62401605
400,16,0.284535,0.209017,0.084472418,0.057523966,12.44762015
400,17,0.286949,0.208504,0.081548691,0.058845997,12.26145601
400,18,0.287375,0.208493,0.080923557,0.060377121,12.29852319
400,19,0.287427,0.207227,0.081835508,0.055521965,12.15597296
400,20,0.284502,0.210564,0.084313869,0.06131506,12.2622118
400,21,0.282964,0.212175,0.084216595,0.052042961,12.47857499
400,22,0.285019,0.218327,0.082149267,0.059762001,12.41886902
400,23,0.284851,0.227641,0.085300207,0.058172941,12.66407013
400,24,0.285341,0.208353,0.085475683,0.054596901,12.48777795
400,25,0.283723,0.208411,0.083779335,0.05574584,13.25771999
400,26,0.28499,0.209066,0.088865042,0.05430603,12.46701717
400,27,0.284265,0.208895,0.083715916,0.055658817,12.85888386
400,28,0.28886,0.208473,0.084439278,0.054259062,12.32449579
400,29,0.287238,0.209262,0.080102921,0.061534882,13.18126416
400,30,0.287311,0.208848,0.082888126,0.058398962,12.80701804
500,1,0.554591,0.26587,0.1518278,0.153208017,24.36432719
500,2,0.55511,0.262582,0.157668,0.113256931,24.26760411
500,3,0.555266,0.262312,0.15527,0.122332096,24.39672995
500,4,0.551193,0.26214,0.1559281,0.108997822,26.87084508
500,5,0.556057,0.263227,0.18138,0.102097988,25.123456
500,6,0.550655,0.263774,0.15232,0.112216949,25.07981801
500,7,0.554154,0.263024,0.157107,0.1048069,23.72913122
500,8,0.553709,0.26389,0.152282,0.109333992,24.62459612
500,9,0.553639,0.264767,0.149502,0.105338812,25.11887217
500,10,0.557529,0.264561,0.151524,0.104502201,26.62622905
500,11,0.553519,0.264314,0.168367386,0.096067905,23.0337429
500,12,0.554676,0.262704,0.146434069,0.098189116,24.32338595
500,13,0.547279,0.263249,0.146934748,0.102827072,25.24027801
500,14,0.558233,0.263323,0.148013353,0.093364,26.11419678
500,15,0.552367,0.265207,0.156729221,0.095773935,25.270787
500,16,0.550463,0.262617,0.143136978,0.101812124,24.46380401
500,17,0.555476,0.263275,0.146547794,0.091289043,24.41369486
500,18,0.552989,0.263412,0.148143053,0.101857185,24.33078218
500,19,0.55174,0.263629,0.150888443,0.099812031,24.35314083
500,20,0.554009,0.262641,0.153666258,0.100538969,24.60051918
500,21,0.556739,0.263514,0.163939476,0.095566034,24.60501719
500,22,0.55457,0.264798,0.149882555,0.098798037,24.74085307
500,23,0.552544,0.265964,0.149799347,0.123525143,25.19874692
500,24,0.556198,0.263129,0.155677557,0.099480152,24.55551004
500,25,0.556556,0.262371,0.149092197,0.097339869,25.1013298
500,26,0.554196,0.264877,0.146936893,0.097836971,25.1110909
500,27,0.559392,0.262085,0.143407583,0.093795061,24.67284203
500,28,0.552138,0.264266,0.147054195,0.094133139,25.01863098
500,29,0.551746,0.263634,0.155544996,0.097126961,24.53953195
500,30,0.554463,0.264653,0.14592576,0.099705935,24.52614999
