pc,experimento,repeticion,sin,con
pc1,100,1,0.004972,0.004276
pc1,100,2,0.004572,0.003627
pc1,100,3,0.005439,0.004271
pc1,100,4,0.004857,0.003669
pc1,100,5,0.004686,0.003952
pc1,100,6,0.004672,0.003791
pc1,100,7,0.004519,0.003539
pc1,100,8,0.004867,0.004086
pc1,100,9,0.004785,0.004927
pc1,100,10,0.004762,0.003868
pc1,100,11,0.004478,0.003546
pc1,100,12,0.00446,0.003618
pc1,100,13,0.00458,0.003651
pc1,100,14,0.004648,0.003441
pc1,100,15,0.005079,0.00363
pc1,100,16,0.005076,0.003416
pc1,100,17,0.0052,0.00348
pc1,100,18,0.005409,0.004678
pc1,100,19,0.004553,0.003429
pc1,100,20,0.005144,0.003496
pc1,100,21,0.005253,0.003756
pc1,100,22,0.005909,0.003449
pc1,100,23,0.004806,0.003441
pc1,100,24,0.005397,0.003416
pc1,100,25,0.005213,0.003561
pc1,100,26,0.004989,0.003556
pc1,100,27,0.005216,0.003575
pc1,100,28,0.004675,0.003425
pc1,100,29,0.005202,0.003519
pc1,100,30,0.004461,0.003431
pc1,200,1,0.042935,0.027337
pc1,200,2,0.043307,0.029624
pc1,200,3,0.043435,0.02849
pc1,200,4,0.042459,0.027071
pc1,200,5,0.04257,0.028526
pc1,200,6,0.044725,0.026402
pc1,200,7,0.043277,0.028137
pc1,200,8,0.043473,0.061892
pc1,200,9,0.042676,0.025795
pc1,200,10,0.043106,0.027953
pc1,200,11,0.044905,0.027831
pc1,200,12,0.045386,0.027162
pc1,200,13,0.045563,0.029188
pc1,200,14,0.044857,0.028272
pc1,200,15,0.046344,0.027759
pc1,200,16,0.044959,0.027475
pc1,200,17,0.045588,0.02752
pc1,200,18,0.04798,0.026716
pc1,200,19,0.045052,0.02704
pc1,200,20,0.045053,0.027253
pc1,200,21,0.044921,0.026886
pc1,200,22,0.052345,0.029039
pc1,200,23,0.046804,0.028119
pc1,200,24,0.045359,0.028043
pc1,200,25,0.044914,0.027528
pc1,200,26,0.04587,0.027351
pc1,200,27,0.045999,0.026582
